,RMSE,MAE,R2,Train_Time_s,Rank
XGBoost_Tuned,6385695.202511243,2954022.3819542252,0.32537120424579313,1.3692383766174316,1
RandomForest,3293640.1862344444,1060000.0789235777,0.32324020397584785,315.74100971221924,2
XGBoost_Default,6079131.060940319,2722688.1660756213,0.3108945890921092,1.570695400238037,3
LightGBM,5713270.942854625,2633924.061898485,0.3093119306492194,0.8567178249359131,4
DecisionTree,23395159.25617199,16412295.560359783,0.26529189609137277,0.7544419765472412,5
Ridge_Baseline,54829970.412656285,42680609.491209656,0.000972086732551373,0.04896974563598633,6
